pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
constance stream roberts stream allo S -5.56110823079189 0.17232869001195 0.235929710271557 1.44487528287819 -0.0848375759677784 -1.02910817416235 -0.288637563042386 0.203384361217882 allo_S
constance stream sk marine allo D -5.34810934022959 0.272169225507748 0.436677998681066 0.480350419130311 -0.109548927870973 -0.158985166899127 -0.950349686455858 0.196557655078238 allo_D
constance stream sr marine allo D -4.26392348204476 0.168521840874313 0.0791679619827076 -1.30886130782186 -0.0452060169529818 0.00686351631498613 0.159088703602342 -0.0459336751167531 allo_D
constance stream sr white allo D -4.60420837902157 0.19467829717621 0.1510708397256 1.92817451041365 -0.0539950265791185 -0.245356255958502 -0.762726238313801 0.0299903970804634 allo_D
cp marine ln marine allo S -7.57460975705632 0.510287541401726 0.0803378960933203 5.09552713665355 -0.0319415908473145 -2.2664950206792 -0.512759291244885 0.23170826247904 allo_S
cp marine mh marine allo S -5.54161647140111 0.235458908886268 -0.79528957345305 1.16174508350717 0.14916884233876 -0.436491949144338 0.200907078853865 -1.05338566469856 allo_S
cp marine mh white allo D -4.63146104162166 -0.272982563389261 0.093577393731948 -1.14237235084986 0.0317832952431666 0.507639700771401 -0.421484042889601 -0.166900802585667 allo_D
cp marine sk marine allo S -5.94349485502032 -0.0869628650339495 -0.193149397772777 2.855285338338 0.0113813384399402 -0.0279753069830051 -0.687447479243172 0.0269200983995378 allo_S
cp marine sr marine allo S -7.12847618260106 0.456530712759818 0.0901882426600608 2.41222506925461 -0.0444122731335281 -1.30816861257172 -0.319048647489646 0.138952973096642 allo_S
cp marine sr white allo D -7.69285664105404 -0.253082177090004 0.313932491715598 3.09825663352532 -0.0082698560272122 0.111496731719492 -0.340091077812127 -0.0109818170865046 allo_D
cr stream al marine allo D -4.41168924798048 -0.231847152593082 0.408228478026312 3.0819456367242 -0.0879364149030305 0.0596126165065166 -1.09941895808936 0.206394295403221 allo_D
cr stream bea lake allo D -4.09961572962955 -0.0879053670502603 -0.153666982112996 -0.021456999419217 -0.0132544219476798 0.216848821055547 0.445160411593719 -0.0767263615456183 allo_D
cr stream boot lake allo D -3.25098730035248 0.0821837799392765 -0.205053418207111 -2.8154621320278 -0.0691196286926075 -1.01624705509081 0.746747880177179 0.0906698693248571 allo_D
cr stream boot stream allo S -2.31666725666944 -0.204492777948976 -0.699247490049203 -3.79913238675322 0.0484434254323428 0.266672506153462 0.977468016430837 -0.0679713125756504 allo_S
cr stream cl marine allo D -4.82862966681633 -0.0699715748383421 0.379676402321775 3.96911979343486 -0.0517831503060365 -0.599811816215678 -0.926849127291666 0.172325492506446 allo_D
cr stream cl white allo D -4.81580400770721 0.0628869440096478 0.340640692003241 3.50462179087194 -0.105695881794721 -0.400363166605262 -0.743511492539129 0.187686859783798 allo_D
cr stream constance lake allo D -3.51616861778132 -0.0425178154092239 -0.194913463399904 -0.952123233546904 0.0348765026850979 -0.667857285563197 0.608030656756393 -0.182884489690683 allo_D
cr stream constance stream allo S -3.59846231881879 0.133741938473387 -0.16345938216043 -0.0398762786007199 0.00423448488801438 -1.58020259636227 0.374050666199146 -0.0304597580221474 allo_S
cr stream cp marine allo D -3.5705035139836 -0.157709472309044 0.276885374686142 1.10953788373253 -0.0823123580262806 -0.0236191044277519 -0.485197533601957 0.0315335277494344 allo_D
cr stream cs marine allo D -3.68645190924624 -0.255558884885897 0.145121510064779 0.856467305405536 -0.0975077974380568 -0.487579313020239 -1.01943416140877 0.2574159907998 allo_D
cr stream denmark marine allo D -2.33789427648069 -0.537894511756861 -0.167975339384838 -3.42590028519744 0.047024964394139 0.763305890659647 0.191454436054374 -0.0322410278582697 allo_D
cr stream geneva lake allo D -3.3281777337932 0.0684002834687254 -0.347964450666991 -0.636126722915898 0.00995967154583347 -1.02891020407743 0.627666241743116 0.0124841469620477 allo_D
cr stream geneva stream allo S -3.24288283240888 0.0347755742444322 -0.204925024819189 -1.11043577448152 0.0155754565813692 -0.69663961496173 0.603567883446144 -0.191106795276966 allo_S
cr stream hadsten lake allo D -2.78098780582091 0.0936723184588355 -0.411841664796661 -0.767843361583803 -0.0601477683522037 -1.77792703401826 0.232019028049879 0.244852367195409 allo_D
cr stream hald lake allo D -2.42518523191325 -0.322196409047792 -0.231897514676467 -2.09672883638023 -0.0391669243311431 0.0809664130577739 -0.0909625391967319 0.155704403164909 allo_D
cr stream japan japansea allo D -2.19241294651388 -0.0714447583733492 -0.528207362959286 -3.36089510488496 0.0225710077242298 -1.07796559793979 0.407104660063664 0.1275997272496 allo_D
cr stream japan marine allo D -3.99808482937599 -0.237758037328616 0.349622600980626 0.530395455702257 -0.319831065857715 0.0740339494206639 -0.838635420965449 0.27857496061099 allo_D
cr stream joes lake allo D -3.34617262275862 -0.0781446441141418 -0.318636157665855 -2.09687903262479 0.0020248287295294 -0.0667430847830564 0.76276287078317 -0.0891364118590421 allo_D
